character_posX,character_posY,character_velX,character_velY,character_accX,character_accY,character_orientation,character_rotation,character_angAcc,monster_posX,monster_posY,monster_velX,monster_velY,monster_accX,monster_accY,monster_orientation,monster_rotation,monster_angAcc,monster_image,action
249.03967,215.09537,0.020283274,0.99977887,-2.7951263E-4,6.824732E-6,-0.03425572,0.0,0.0,255.27594,118.997345,-0.07486778,0.69241744,2.8410257E-4,3.8670897E-4,0.11432358,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.05995,216.09515,0.020003762,0.99978566,-2.5673845E-4,6.2286854E-6,-0.03425572,0.0,0.0,255.20107,119.689766,-0.07458367,0.69280416,2.6013926E-4,3.4849643E-4,0.11432358,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.07996,217.09494,0.019747024,0.99979186,-2.3591817E-4,5.698204E-6,-0.03425572,0.0,0.0,255.12648,120.38257,-0.074323535,0.69315267,0.0022916212,4.9570797E-4,0.11432358,0.0,-0.0011693602,cuteMonster_red.jpeg,PathFollow
249.0997,218.09473,0.019511105,0.9997976,-2.168674E-4,5.197525E-6,-0.03425572,0.0,0.0,255.05215,121.07572,-0.072031915,0.6936484,0.0020859155,4.4786333E-4,0.11432358,-0.0011693602,-0.0010620498,cuteMonster_red.jpeg,PathFollow
249.11922,219.09453,0.019294238,0.99980277,-1.9944999E-4,4.762411E-6,-0.03425572,0.0,0.0,254.98012,121.76937,-0.069946,0.69409627,0.0018988922,4.0464997E-4,0.11315422,-0.00223141,-9.311956E-4,cuteMonster_red.jpeg,PathFollow
249.1385,220.09433,0.019094788,0.99980754,-6.772031E-4,1.1652708E-5,-0.03425572,0.0,6.283242E-4,254.91017,122.46347,-0.068047106,0.6945009,0.0017288331,3.6563276E-4,0.110922806,-0.0031626057,-7.822877E-4,cuteMonster_red.jpeg,PathFollow
249.1576,221.09413,0.018417584,0.99981916,-6.1930186E-4,1.0609627E-5,-0.03425572,6.283242E-4,5.68305E-4,254.84212,123.157974,-0.06631827,0.69486654,0.0015741959,3.303945E-4,0.1077602,-0.0039448934,-6.209441E-4,cuteMonster_red.jpeg,PathFollow
249.17601,222.09395,0.017798282,0.99982977,-5.664914E-4,9.655952E-6,-0.0336274,0.0011966293,4.9608713E-4,254.7758,123.852844,-0.06474408,0.6951969,0.0025997162,3.72988E-4,0.1038153,-0.0045658373,-9.3095563E-4,cuteMonster_red.jpeg,PathFollow
249.1938,223.09378,0.01723179,0.9998394,-5.182992E-4,8.791685E-6,-0.032430768,0.0016927164,4.1462044E-4,254.71106,124.54804,-0.06214436,0.69556993,0.0023611109,3.3686758E-4,0.09924947,-0.005496793,-7.1581645E-4,cuteMonster_red.jpeg,PathFollow
249.21103,224.09361,0.01671349,0.99984825,-4.743264E-4,8.010864E-6,-0.030738052,0.002107337,3.2691675E-4,254.64891,125.243614,-0.05978325,0.6959068,0.002144569,3.042519E-4,0.093752675,-0.0062126094,-4.9478386E-4,cuteMonster_red.jpeg,PathFollow
249.22774,225.09346,0.016239164,0.99985623,-4.341936E-4,7.301569E-6,-0.028630715,0.0,0.0,254.58913,125.93952,-0.057638682,0.6962111,0.00194803,2.7480721E-4,0.08754007,-0.006707393,-2.746713E-4,cuteMonster_red.jpeg,PathFollow
249.24397,226.09332,0.01580497,0.9998635,-3.9756222E-4,6.6518783E-6,-0.028630715,0.0,0.0,254.5315,126.635735,-0.055690654,0.6964859,0.0017696318,2.4822354E-4,0.080832675,-0.0069820643,-6.177528E-5,cuteMonster_red.jpeg,PathFollow
249.25978,227.09319,0.015407409,0.9998702,-3.6413083E-4,6.061792E-6,-0.028630715,0.0,0.0,254.4758,127.33222,-0.05392102,0.6967341,0.0016077046,2.2421479E-4,0.07385061,-0.0070438394,1.3826121E-4,cuteMonster_red.jpeg,PathFollow
249.27519,228.09305,0.015043277,0.99987626,-3.336061E-4,5.51939E-6,-0.028630715,0.0,0.0,254.42188,128.02896,-0.052313317,0.6969583,0.001460709,2.0254255E-4,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.29024,229.09293,0.014709671,0.9998818,-3.057258E-4,5.030632E-6,-0.028630715,0.0,0.0,254.36957,128.72592,-0.050852608,0.69716084,0.0013272527,1.8296838E-4,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.30495,230.0928,0.014403945,0.9998868,-2.802562E-4,4.5895576E-6,-0.028630715,0.0,0.0,254.31871,129.42308,-0.049525354,0.6973438,0.0012060974,1.6528965E-4,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.31935,231.0927,0.014123688,0.9998914,-2.569886E-4,4.184246E-6,-0.028630715,0.0,0.0,254.26918,130.12042,-0.048319258,0.6975091,0.0010960933,1.4932155E-4,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.33348,232.09259,0.0138667,0.9998956,-2.3573785E-4,3.8146973E-6,-0.028630715,0.0,0.0,254.22086,130.81793,-0.047223166,0.6976584,9.962075E-4,1.3491511E-4,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.34735,233.09248,0.013630962,0.9998994,-2.163127E-4,3.4868717E-6,-0.028630715,0.0,0.0,254.17363,131.5156,-0.04622696,0.69779336,9.055007E-4,1.2189746E-4,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.36098,234.09238,0.013414649,0.99990284,-1.9854195E-4,3.1769275E-6,-0.028630715,0.0,0.0,254.1274,132.2134,-0.045321457,0.69791526,8.231286E-4,1.10143425E-4,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.37439,235.09229,0.013216107,0.999906,-1.822995E-4,2.9087066E-6,-0.028630715,0.0,0.0,254.08208,132.91132,-0.044498328,0.6980254,7.483087E-4,9.952784E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.3876,236.0922,0.013033807,0.9999089,-1.6744742E-4,2.6524067E-6,-0.028630715,0.0,0.0,254.03758,133.60934,-0.043750018,0.69812495,6.803509E-4,8.993149E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.40063,237.0921,0.01286636,0.99991155,-1.5386232E-4,2.425909E-6,-0.028630715,0.0,0.0,253.99384,134.30746,-0.043069668,0.6982149,6.1862246E-4,8.127093E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.4135,238.09201,0.012712498,0.999914,-1.414341E-4,2.2172928E-6,-0.028630715,0.0,0.0,253.95076,135.00568,-0.042451046,0.6982962,5.625561E-4,7.345081E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.42621,239.09192,0.012571064,0.9999162,-1.3006516E-4,2.026558E-6,-0.028630715,0.0,0.0,253.90831,135.70398,-0.04188849,0.6983696,5.116135E-4,6.6387656E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.43878,240.09184,0.012440999,0.9999182,-4.4133206E-4,4.9591063E-6,-0.028630715,0.0,5.902311E-4,253.86642,136.40234,-0.041376878,0.698436,4.6532898E-4,5.9998034E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.45122,241.09177,0.011999667,0.99992317,-4.035961E-4,4.506111E-6,-0.028630715,5.902311E-4,5.330407E-4,253.82504,137.10078,-0.040911548,0.69849604,4.2328014E-4,5.4234268E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.46321,242.09169,0.011596071,0.9999277,-3.691704E-4,4.10676E-6,-0.028040484,0.0011232718,4.6452778E-4,253.78413,137.79929,-0.04048827,0.6985503,3.8506388E-4,4.902482E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.47481,243.09161,0.0112269,0.9999318,-3.3777178E-4,3.7372113E-6,-0.026917212,0.0015877995,3.8747664E-4,253.74365,138.49783,-0.040103205,0.69859934,3.503304E-4,4.4316053E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.48604,244.09155,0.010889128,0.99993557,-3.0912482E-4,3.3974648E-6,-0.025329413,0.001975276,3.047116E-4,253.70355,139.19643,-0.039752875,0.6986437,3.1876675E-4,4.0066243E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.49693,245.09149,0.010580003,0.99993896,-2.8298338E-4,3.105402E-6,-0.023354137,0.0,0.0,253.6638,139.89507,-0.03943411,0.69868374,2.9007756E-4,3.6227702E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.5075,246.09143,0.01029702,0.99994206,-2.5910413E-4,2.8252603E-6,-0.023354137,0.0,0.0,253.62437,140.59375,-0.03914403,0.69872,2.6399718E-4,3.2752752E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.5178,247.09137,0.010037916,0.99994487,-2.3731674E-4,2.580881E-6,-0.023354137,0.0,0.0,253.58524,141.29247,-0.038880035,0.69875276,2.402883E-4,2.9617548E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.52785,248.09131,0.009800599,0.9999474,-2.1742229E-4,2.348423E-6,-0.023354137,0.0,0.0,253.54636,141.99121,-0.038639747,0.6987824,2.1873825E-4,2.6786327E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.53764,249.09126,0.009583177,0.99994975,-1.992423E-4,2.1457672E-6,-0.023354137,0.0,0.0,253.50772,142.68999,-0.03842101,0.69880915,1.9914024E-4,2.4223327E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.54723,250.09122,0.009383935,0.9999519,-1.8264265E-4,1.949072E-6,-0.023354137,0.0,0.0,253.4693,143.3888,-0.03822187,0.69883335,1.813244E-4,2.1916629E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.55661,251.09117,0.009201292,0.99995387,-1.6747913E-4,1.7821789E-6,-0.023354137,0.0,0.0,253.43108,144.08763,-0.038040545,0.6988553,1.6512349E-4,1.9824505E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.56581,252.09113,0.009033813,0.99995565,-1.5362297E-4,1.6212464E-6,-0.023354137,0.0,0.0,253.39304,144.78648,-0.03787542,0.6988751,1.5038699E-4,1.7929076E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.57484,253.09108,0.008880191,0.99995726,-1.4095902E-4,1.4841556E-6,-0.023354137,0.0,0.0,253.35516,145.48535,-0.037725035,0.6988931,1.3698079E-4,1.6218424E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.58372,254.09103,0.008739231,0.99995875,-1.2938511E-4,1.3530255E-6,-0.023354137,0.0,0.0,253.31744,146.18425,-0.037588052,0.6989093,1.2478195E-4,1.4674663E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.59247,255.09099,0.008609846,0.9999601,-1.1881041E-4,1.2338162E-6,-0.023354137,0.0,0.0,253.27986,146.88316,-0.03746327,0.69892395,1.1368394E-4,1.3279915E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.60107,256.09094,0.008491036,0.9999614,-1.0912614E-4,1.1265278E-6,-0.023354137,0.0,0.0,253.2424,147.58209,-0.037349585,0.69893724,1.0358952E-4,1.2016297E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.60956,257.0909,0.00838191,0.9999625,-1.0026237E-4,1.0311603E-6,-0.023354137,0.0,0.0,253.20505,148.28104,-0.037245996,0.6989493,9.441152E-5,1.08838085E-5,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.61794,258.09088,0.008281647,0.9999635,-9.215828E-5,9.357929E-7,-0.023354137,0.0,0.0,253.1678,148.97998,-0.037151586,0.6989602,8.605681E-5,9.840727E-6,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.62622,259.09085,0.008189489,0.9999645,-8.476023E-5,8.5234643E-7,-0.023354137,0.0,0.0,253.13065,149.67894,-0.03706553,0.69897,7.8456105E-5,8.904934E-6,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.63441,260.09082,0.008104729,0.9999653,-2.8753676E-4,2.104044E-6,-0.023354137,0.0,5.1923597E-4,253.09358,150.37791,-0.036987074,0.6989789,7.153079E-5,8.0704685E-6,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.64252,261.0908,0.007817192,0.9999674,-2.6295247E-4,1.9073486E-6,-0.023354137,5.1923597E-4,4.685067E-4,253.0566,151.07689,-0.036915544,0.69898695,6.522983E-5,7.3075294E-6,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.65033,262.09076,0.0075542396,0.9999693,-2.4052235E-4,1.746416E-6,-0.0228349,9.877427E-4,4.078884E-4,253.01968,151.77588,-0.036850315,0.6989943,5.9486552E-5,6.6161156E-6,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
249.65788,263.09073,0.007313717,0.99997103,-2.2006319E-4,1.5854836E-6,-0.021847159,0.0,0.0,252.98283,152.47487,-0.03679083,0.6990009,5.426295E-5,5.996227E-6,0.06680677,0.0,0.0,cuteMonster_red.jpeg,PathFollow
