character_posX,character_posY,character_velX,character_velY,character_accX,character_accY,character_orientation,character_rotation,character_angAcc,monster_posX,monster_posY,monster_velX,monster_velY,monster_accX,monster_accY,monster_orientation,monster_rotation,monster_angAcc,monster_image,action
430.7078,127.31375,-0.014147196,0.9997714,2.8568553E-4,1.6486645E-5,0.019140625,0.0,0.0,333.0665,78.08049,0.5611304,0.368435,-0.0044061365,0.007843817,-0.7568969,0.05217508,-0.00811652,cuteMonster_red.jpeg,PathFollow
430.69363,128.31352,-0.013861511,0.9997879,2.617715E-4,1.488924E-5,0.019140625,0.0,0.0,333.62762,78.44893,0.55672425,0.37627882,-0.0047510983,0.0065436214,-0.7047218,0.044058558,-0.008747128,cuteMonster_red.jpeg,PathFollow
430.67978,129.31331,-0.013599739,0.9998028,2.39899E-4,1.3446808E-5,0.019140625,0.0,0.0,334.18436,78.82521,0.55197316,0.38282245,-0.0050554154,0.00536246,-0.66066325,0.03531143,-0.0090859905,cuteMonster_red.jpeg,PathFollow
430.66617,130.31311,-0.01335984,0.9998163,2.1994878E-4,1.2141466E-5,0.019140625,0.0,0.0,334.73633,79.20803,0.54691774,0.3881849,-0.0053226324,0.004290268,-0.6253518,0.02622544,-0.009143929,cuteMonster_red.jpeg,PathFollow
430.6528,131.31293,-0.013139891,0.99982846,2.0171507E-4,1.0967255E-5,0.019140625,0.0,0.0,335.28323,79.596214,0.5415951,0.3924752,-0.005556038,0.0033177794,-0.59912634,0.01708151,-0.008939048,cuteMonster_red.jpeg,PathFollow
430.63965,132.31276,-0.012938176,0.9998394,1.8506442E-4,9.912253E-6,0.019140625,0.0,0.0,335.82483,79.98869,0.53603905,0.39579296,-0.005758667,0.0024365275,-0.58204484,0.008142462,-0.008495718,cuteMonster_red.jpeg,PathFollow
430.6267,133.31259,-0.012753112,0.9998493,1.698264E-4,8.958578E-6,0.019140625,0.0,0.0,336.36087,80.38448,0.5302804,0.39822948,-0.005933264,0.0016387701,-0.57390237,-3.5325624E-4,-0.007843415,cuteMonster_red.jpeg,PathFollow
430.61395,134.31244,-0.012583286,0.99985826,1.5590042E-4,8.100271E-6,0.019140625,0.0,0.0,336.89114,80.782715,0.5243471,0.39986825,-0.006082314,9.173751E-4,-0.57425565,-0.0081966715,-0.007015541,cuteMonster_red.jpeg,PathFollow
430.60138,135.3123,-0.012427385,0.99986637,1.4314381E-4,7.3134897E-6,0.019140625,0.0,0.0,337.4155,81.18259,0.51826483,0.40078562,-0.0062081786,2.6581585E-4,-0.5824523,-0.015212213,-0.0060481364,cuteMonster_red.jpeg,PathFollow
430.58896,136.31216,-0.012284242,0.9998737,1.3148421E-4,6.610155E-6,0.019140625,0.0,0.0,337.93378,81.583374,0.51205665,0.40105143,-0.0063129575,-3.2187105E-4,-0.59766454,-0.02126035,-0.0049786875,cuteMonster_red.jpeg,PathFollow
430.57666,137.31204,-0.0121527575,0.9998803,1.20859404E-4,5.9843064E-6,0.019140625,0.0,0.0,338.44583,81.98443,0.5057437,0.40072957,-0.0063985316,-8.511573E-4,-0.61892486,-0.026239038,-0.0038449666,cuteMonster_red.jpeg,PathFollow
430.5645,138.31192,-0.012031898,0.9998863,1.1109952E-4,5.412102E-6,0.019140625,0.0,0.0,338.95157,82.385155,0.49934515,0.3998784,-0.0064667165,-0.0013270617,-0.6451639,-0.030084005,-0.0026838777,cuteMonster_red.jpeg,PathFollow
430.5525,139.31181,-0.011920799,0.9998917,1.02166276E-4,4.8935412E-6,0.019140625,0.0,0.0,339.45093,82.785034,0.49287844,0.39855134,-0.0065191416,-0.0017541826,-0.6752479,-0.03276788,-0.0015304905,cuteMonster_red.jpeg,PathFollow
430.54056,140.3117,-0.0118186325,0.9998966,4.0620696E-4,7.343292E-6,0.019140625,0.0,0.0,339.94382,83.183586,0.4863593,0.39679715,-0.006557271,-0.002136734,-0.7080158,-0.03429837,-4.1717998E-4,cuteMonster_red.jpeg,PathFollow
430.52875,141.3116,-0.011412426,0.9999039,3.7148834E-4,6.6399575E-6,0.019140625,0.0,0.0,340.43018,83.58038,0.479802,0.3946604,-0.006582451,-0.0024785816,-0.74231416,-0.034715552,6.2713306E-4,cuteMonster_red.jpeg,PathFollow
430.51733,142.31151,-0.011040937,0.99991053,3.3982954E-4,6.0260295E-6,0.019140625,0.0,0.0,340.90997,83.975044,0.47321957,0.39218184,-0.0065959184,-0.002783245,-0.7770297,-0.034088418,0.0015775673,cuteMonster_red.jpeg,PathFollow
430.5063,143.31142,-0.010701108,0.99991655,3.109523E-4,5.4597854E-6,0.019140625,0.0,0.0,341.38318,84.367226,0.46662366,0.3893986,-0.0065988153,-0.003053978,-0.8111181,-0.03251085,0.002413692,cuteMonster_red.jpeg,PathFollow
430.49557,144.31134,-0.010390155,0.99992204,2.8460697E-4,4.953146E-6,0.019140625,0.0,0.0,341.8498,84.75662,0.46002483,0.3863446,-0.006592193,-0.0032937317,-0.843629,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.4852,145.31126,-0.010105548,0.999927,2.6052416E-4,4.4941903E-6,0.019140625,0.0,0.0,342.3098,85.14297,0.45343265,0.3830509,-0.006577006,-0.0035052418,-0.843629,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.4751,146.31119,-0.009845024,0.99993145,2.3855595E-4,4.0709974E-6,0.019140625,0.0,0.0,342.76324,85.52602,0.44685563,0.37954566,-0.006554109,-0.0036909909,-0.843629,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.46524,147.31113,-0.009606468,0.9999355,2.1852521E-4,3.695488E-6,0.019140625,0.0,0.0,343.2101,85.90556,0.44030154,0.37585467,-0.0065243123,-0.0038532554,-0.843629,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.45563,148.31107,-0.009387942,0.9999392,2.0022574E-4,3.349781E-6,0.019140625,0.0,0.0,343.65042,86.28142,0.4337772,0.3720014,-0.006488311,-0.003994125,-0.843629,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.44623,149.311,-0.009187716,0.99994254,1.8352139E-4,3.0457973E-6,0.019140625,0.0,0.0,344.0842,86.65342,0.4272889,0.36800727,-0.00644677,-0.004115516,-0.843629,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.43704,150.31094,-0.009004194,0.9999456,1.6824077E-4,2.7656556E-6,0.019140625,0.0,0.0,344.51147,87.02142,0.4208421,0.36389175,-0.006400275,-0.0042191683,-0.843629,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.42804,151.31088,-0.008835954,0.9999483,1.5428099E-4,2.5093555E-6,0.019140625,0.0,0.0,344.9323,87.385315,0.41444182,0.35967258,-0.0063494206,-0.004306701,-0.843629,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.4192,152.31084,-0.008681673,0.9999508,1.4155176E-4,2.2768975E-6,0.019140625,0.0,0.0,345.34674,87.74499,0.4080924,0.35536587,-0.0150362225,0.029546063,-0.843629,0.0,0.01,cuteMonster_red.jpeg,PathFollow
430.41052,153.31079,-0.008540121,0.9999531,1.2986777E-4,2.0682812E-6,0.019140625,0.0,0.0,345.75482,88.10036,0.39305618,0.38491192,-0.013776133,0.026687374,-0.843629,0.01,0.009000001,cuteMonster_red.jpeg,PathFollow
430.40198,154.31075,-0.008410254,0.9999552,1.1922177E-4,1.8715858E-6,0.019140625,0.0,0.0,346.1479,88.48527,0.37928006,0.4115993,-0.012621552,0.024105558,-0.833629,0.019000001,0.0081,cuteMonster_red.jpeg,PathFollow
430.39355,155.3107,-0.008291032,0.999957,1.09502675E-4,1.7106534E-6,0.019140625,0.0,0.0,346.52716,88.896866,0.3666585,0.43570486,-0.0115637425,0.021773865,-0.814629,0.0271,0.0072899996,cuteMonster_red.jpeg,PathFollow
430.38525,156.31065,-0.008181529,0.99995875,1.00610174E-4,1.5497208E-6,0.019140625,0.0,0.0,346.89383,89.33257,0.35509476,0.45747873,-0.010594728,0.019668141,-0.787529,0.03439,0.006561001,cuteMonster_red.jpeg,PathFollow
430.37708,157.31061,-0.008080919,0.9999603,9.245351E-5,1.4066696E-6,0.019140625,0.0,0.0,347.24893,89.790054,0.34450004,0.47714686,-0.009707123,0.017766524,-0.753139,0.040951,0.0059049004,cuteMonster_red.jpeg,PathFollow
430.369,158.31056,-0.007988466,0.99996173,8.500903E-5,1.2755394E-6,0.019140625,0.0,0.0,347.59344,90.267204,0.3347929,0.4949134,-0.008894151,0.01604926,-0.712188,0.0468559,0.00531441,cuteMonster_red.jpeg,PathFollow
430.361,159.31052,-0.007903457,0.999963,7.819939E-5,1.1682511E-6,0.019140625,0.0,0.0,347.92822,90.762115,0.32589877,0.51096267,-0.00814956,0.014498484,-0.6653321,0.05217031,0.003625742,cuteMonster_red.jpeg,PathFollow
430.3531,160.31049,-0.007825257,0.9999642,2.7587297E-4,2.3007392E-6,0.019140625,0.0,0.0,348.25412,91.27308,0.3177492,0.52546114,-0.0074676634,0.0130980555,-0.61316174,0.055796053,0.001826689,cuteMonster_red.jpeg,PathFollow
430.34528,161.31046,-0.007549384,0.9999665,2.5228332E-4,2.0861626E-6,0.019140625,0.0,0.0,348.57187,91.79854,0.31028154,0.5385592,-0.006843203,0.011833405,-0.5573657,0.057622742,9.893849E-5,cuteMonster_red.jpeg,PathFollow
430.33774,162.31042,-0.007297101,0.9999686,2.3076497E-4,1.9013881E-6,0.019140625,0.0,0.0,348.88214,92.3371,0.30343834,0.5503926,-0.006271337,0.010691362,-0.49974298,0.057721682,-0.0015126981,cuteMonster_red.jpeg,PathFollow
430.33044,163.3104,-0.007066336,0.9999705,2.1114363E-4,1.7285347E-6,0.019140625,0.0,0.0,349.18558,92.88749,0.297167,0.561084,-0.005747667,0.009660023,-0.4420213,0.056208983,-0.0029699525,cuteMonster_red.jpeg,PathFollow
430.32336,164.31036,-0.0068551926,0.9999722,1.9326452E-4,1.5676021E-6,0.019140625,0.0,0.0,349.48276,93.44857,0.29141933,0.570744,-0.005268139,0.008728653,-0.38581234,0.05323903,-0.0042417506,cuteMonster_red.jpeg,PathFollow
430.3165,165.31033,-0.0066619283,0.9999738,1.769431E-4,1.4305115E-6,0.019140625,0.0,0.0,349.77417,94.01932,0.2861512,0.57947266,-0.004828997,0.00788753,-0.33257332,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.30984,166.3103,-0.0064849854,0.9999752,1.6201279E-4,1.2993812E-6,0.019140625,0.0,0.0,350.06033,94.59879,0.2813222,0.5873602,-0.004426877,0.007127905,-0.33257332,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.30334,167.31027,-0.0063229725,0.9999765,1.4842022E-4,1.1801719E-6,0.019140625,0.0,0.0,350.34164,95.18615,0.27689534,0.5944881,-0.004058607,0.0064418493,-0.33257332,0.0,0.0,cuteMonster_red.jpeg,PathFollow
430.29703,168.31024,-0.0061745523,0.9999777,1.3597473E-4,1.0728836E-6,0.019140625,0.0,0.0,350.61853,95.78064,0.27283674,0.6009299,-0.0037213534,0.0058222353,-0.33257332,0.0,0.0,cuteMonster_red.jpeg,PathFollow
